Date,BikeCount,Weather Phenomena,,,day,total rides,per day 
20150701,470,Mist,,mist,29,12748,440
20150702,529,Mist,,rain,28,9886,353
20150703,641,Rain,,sunny,35,17445,498
20150704,808,Rain,,,,,
20150705,645,Mist,,,×ÜÈËÊı,40079,
20150706,314,Rain,,,,,
20150707,349,Rain,,,,,
20150708,358,Rain,,,,,
20150709,242,Rain,,,,,
20150710,385,Mist,,,,,
20150711,713,Mist,,,,,
20150712,433,Rain,,,,,
20150713,342,Rain,,,,,
20150714,260,Rain,,,,,
20150715,370,Mist,,,,,
20150716,531,Sunny,,,,,
20150717,443,Sunny,,,,,
20150718,617,Sunny,,,,,
20150719,442,Mist,,,,,
20150720,380,Rain,,,,,
20150721,370,Rain,,,,,
20150722,514,Sunny,,,,,
20150723,507,Sunny,,,,,
20150724,484,Sunny,,,,,
20150725,691,Mist,,,,,
20150726,915,Sunny,,,,,
20150727,393,Mist,,,,,
20150728,349,Mist,,,,,
20150729,353,Mist,,,,,
20150730,360,Mist,,,,,
20150731,497,Sunny,,,,,
20150801,591,Sunny,,,,,
20150802,580,Sunny,,,,,
20150803,268,Rain,,,,,
20150804,419,Mist,,,,,
20150805,465,Sunny,,,,,
20150806,439,Sunny,,,,,
20150807,475,Sunny,,,,,
20150808,563,Sunny,,,,,
20150809,547,Sunny,,,,,
20150810,308,Mist,,,,,
20150811,445,Rain,,,,,
20150812,409,Sunny,,,,,
20150813,433,Sunny,,,,,
20150814,424,Sunny,,,,,
20150815,598,Mist,,,,,
20150816,455,Mist,,,,,
20150817,426,Mist,,,,,
20150818,294,Rain,,,,,
20150819,429,Mist,,,,,
20150820,405,Rain,,,,,
20150821,529,Sunny,,,,,
20150822,710,Sunny,,,,,
20150823,591,Sunny,,,,,
20150824,370,Sunny,,,,,
20150825,372,Sunny,,,,,
20150826,378,Sunny,,,,,
20150827,410,Sunny,,,,,
20150828,450,Sunny,,,,,
20150829,659,Mist,,,,,
20150830,474,Rain,,,,,
20150831,332,Mist,,,,,
20150901,307,Mist,,,,,
20150902,337,Rain,,,,,
20150903,399,Rain,,,,,
20150904,372,Mist,,,,,
20150905,378,Rain,,,,,
20150906,615,Sunny,,,,,
20150907,580,Sunny,,,,,
20150908,339,Mist,,,,,
20150909,234,Rain,,,,,
20150910,265,Rain,,,,,
20150911,396,Mist,,,,,
20150912,160,Rain,,,,,
20150913,244,Rain,,,,,
20150914,341,Sunny,,,,,
20150915,403,Mist,,,,,
20150916,413,Mist,,,,,
20150917,379,Mist,,,,,
20150918,407,Mist,,,,,
20150919,584,Rain,,,,,
20150920,477,Sunny,,,,,
20150921,335,Sunny,,,,,
20150922,334,Sunny,,,,,
20150923,406,Mist,,,,,
20150924,428,Sunny,,,,,
20150925,541,Sunny,,,,,
20150926,550,Sunny,,,,,
20150927,406,Rain,,,,,
20150928,220,Rain,,,,,
20150929,68,Rain,,,,,
20150930,208,Rain,,,,,